src;dst;capacity_mbps;delay_ms;r_link
0;2;549;15;0.9974
0;3;202;9;0.9694
0;4;284;6;0.9685
0;8;755;8;0.9833
0;10;843;13;0.9692
0;11;525;10;0.9569
0;13;672;5;0.9931
0;14;811;3;0.9543
0;17;870;6;0.984
0;20;162;12;0.9805
0;23;739;13;0.9817
0;24;251;9;0.9812
0;26;771;4;0.9646
0;27;868;14;0.9926
0;28;894;15;0.9851
0;35;315;10;0.9959
0;42;218;3;0.9524
0;43;410;4;0.9606
0;44;350;4;0.9792
0;45;747;12;0.9885
0;46;512;11;0.9616
0;47;929;6;0.9774
0;48;126;13;0.9877
0;50;570;15;0.9949
0;51;546;3;0.9635
0;52;367;11;0.9552
0;53;197;13;0.9571
0;57;395;12;0.9581
0;59;490;4;0.9951
0;60;198;15;0.9867
0;67;195;10;0.982
0;68;641;10;0.9715
0;69;128;12;0.9535
0;70;293;11;0.9697
0;71;920;14;0.9914
0;74;633;14;0.9756
0;76;511;14;0.9713
0;79;413;4;0.9646
0;80;949;6;0.9549
0;82;729;15;0.9809
0;85;669;4;0.9579
0;86;369;7;0.9733
0;89;432;5;0.9515
0;90;391;3;0.9981
0;91;546;6;0.9805
0;95;799;9;0.9778
0;96;307;11;0.9867
0;101;555;10;0.9802
0;105;230;5;0.9923
0;107;684;13;0.9922
0;112;813;15;0.98
0;114;975;14;0.9837
0;117;426;8;0.9924
0;120;663;11;0.997
0;125;214;8;0.9681
0;126;543;4;0.9872
0;127;273;9;0.9676
0;131;984;3;0.9598
0;132;802;12;0.9814
0;135;487;14;0.9866
0;137;721;13;0.9798
0;140;234;9;0.9829
0;143;514;3;0.9654
0;146;745;13;0.9875
0;149;626;4;0.9638
0;150;680;9;0.9578
0;155;377;9;0.9565
0;156;165;9;0.9592
0;157;482;8;0.9568
0;159;425;4;0.9868
0;160;197;4;0.9656
0;161;859;8;0.9784
0;163;901;13;0.9654
0;166;930;5;0.9947
0;167;425;11;0.9532
0;169;615;15;0.9611
0;170;839;9;0.951
0;176;686;11;0.9613
0;177;801;9;0.9871
0;184;750;4;0.9883
0;186;602;9;0.9774
0;188;506;6;0.9978
0;189;704;7;0.9742
0;192;669;13;0.9925
0;193;862;5;0.9963
0;198;574;14;0.9664
0;204;444;10;0.9916
0;206;929;3;0.9754
0;208;346;12;0.9961
0;209;526;14;0.9659
0;211;665;8;0.9778
0;219;108;7;0.9534
0;220;156;5;0.9641
0;225;174;5;0.9659
0;229;680;4;0.9893
0;231;716;15;0.9843
0;232;587;6;0.9862
0;235;716;11;0.957
0;236;749;15;0.953
0;238;998;14;0.9806
0;245;274;10;0.9927
0;247;441;12;0.9983
0;248;263;13;0.9733
1;2;127;13;0.9677
1;3;520;4;0.9518
1;5;241;3;0.978
1;9;675;3;0.9524
1;10;218;6;0.9591
1;11;958;11;0.9635
1;15;646;5;0.9512
1;16;317;6;0.9648
1;22;309;7;0.9665
1;24;157;4;0.9852
1;27;210;10;0.9838
1;28;459;15;0.9918
1;29;545;13;0.963
1;31;402;10;0.9608
1;34;606;14;0.9955
1;36;934;9;0.9675
1;40;624;14;0.9725
1;42;329;7;0.9651
1;43;229;3;0.9696
1;46;893;7;0.9679
1;50;655;14;0.9879
1;51;592;14;0.9846
1;57;509;13;0.987
1;58;518;3;0.9877
1;59;645;5;0.9648
1;64;105;14;0.9629
1;65;286;10;0.9507
1;66;698;5;0.9503
1;71;848;11;0.9655
1;77;811;6;0.9657
1;79;453;4;0.9775
1;84;211;8;0.9834
1;86;515;12;0.9673
1;89;357;15;0.9859
1;92;230;6;0.9809
1;94;547;11;0.989
1;95;618;5;0.9504
1;96;830;11;0.9743
1;97;763;4;0.957
1;100;969;5;0.9579
1;102;281;3;0.9836
1;106;438;3;0.9967
1;108;929;5;0.988
1;110;973;3;0.9744
1;111;675;6;0.9539
1;114;406;11;0.9796
1;117;947;8;0.986
1;119;688;4;0.998
1;121;292;3;0.9655
1;127;888;4;0.9805
1;128;736;7;0.9812
1;130;230;11;0.9785
1;131;341;6;0.9569
1;134;362;8;0.9624
1;135;126;12;0.9738
1;138;879;13;0.9531
1;139;658;11;0.9776
1;145;477;10;0.9653
1;147;663;11;0.9661
1;148;978;13;0.9509
1;154;547;4;0.9892
1;158;819;14;0.9738
1;159;354;8;0.963
1;162;878;3;0.9559
